Name,Country,Type,Style,Grape,Short Description,Long Description,Per Bottle Price,Mix Six Price,Percentage of reviewers who would buy again,Number of Reviewers,Awards,Closure,Units,Volume
Jas Du Lauzon Luberon Rosé,France,Rose,Rose,,DRY,"Jaz du Lauzon is a beneficiary of Luberon's unique climate. Redolent of wild raspberries and rose petal, and displaying a delicate minerality, it's a real summer thirst quencher.",9.99,6.66,100.0,3,[],,10.1,75.0
Luis Felipe Edwards Gran Reserva Merlot 2018 Colchagua Valley,Chile,Red,Big Red,,FULL,"The Luis Felipe Edwards winery is no stranger to the praise of both Robert Parker and Tim Atkin MW. But it still makes fantastic produce at a pocket-friendly price. Soft tannins allow gallons of cherry, blackberry and strawberry flavours to reign supreme.",9.99,7.99,92.0,159,['Decanter 2019 - Commended Award'],Natural Cork,10.5,75.0
Domodo Negroamaro IGP Puglia 2018,Italy,Red,Big Red,,MEDIUM,Chosen by our Store Managers this has a deliciously intense palate of blackcurrant and wild bramble fruit is lifted with charming hints of thyme and sweet spice. This makes an outstanding partner for rich red meat dishes. Deliciously intense and smooth palate of blackcurrant and wild bramble lifted by charming hints of sweet spice. An oustanding partner for rich red meat dishes or mature cheese.,9.99,7.99,86.0,93,[],,9.0,75.0
Definition Rosé 2018,France,Rose,Rose,,DRY,"The Definition range captures the quintessential qualities of the world's greatest wine styles. Old vines craft the juiciest berries. So to capture the essence of rosé, we went to a French vineyard with crops reaching 70 years. You're in for pure notes of stone fruit, citrus and melon balanced by zippy acidity.",10.99,8.99,100.0,3,[],,9.0,75.0
Majestic Loves Chardonnay 2018,South Africa,White,Rich White,,DRY,"A real gem, our Majestic Loves Chardonnay is produced by decades-old vines in the Robertson area of South Africa. Expect plenty of fresh citrus, lime and tropical flavours. A superb choice with poultry.",6.99,5.99,91.0,35,['IWC 2018 - Bronze Award'],Screwcap,9.8,75.0
Chalk Bay Sauvignon Blanc,New Zealand,White,Fruity White,Sauvignon Blanc,DRY,An elegant Sauvignon Blanc with aromas of gooseberies and tropical fruit leading to a crisp and refreshing finish. Enjoy on its own or with grilled fish or fresh salads.,7.99,6.99,59.0,59,[],,8.6,75.0
Petit Perdigal Rouge 2018,France,Red,Fruity Red,"Mourvèdre, Cinsault, Syrah, Grenache",MEDIUM,"Leon Perdigal, perhaps better known for crafting Châteauneuf-du-Pape, added grapes from outside the Côtes du Rhône appellation to this blend. This means it's declassified. But don't be fooled - packed with red fruits, spice spice and that all-important dusting of pepper, this is everything you'd want from a Côtes du Rhône red.",7.99,6.74,96.0,94,['IWC 2019 - Silver Award'],,10.1,75.0
Jean Lucas Cotes du Rhone Villages Vaison la Romaine,France,Red,Smooth Red,,MEDIUM,"A garnet juice exudes vibrant notes of red berries and plum. Hints of toasted mocha frame a generously-long finish. Pair this with your roast dinners and stews to dine lavishly as leaves fall Lovely dark garnet colour, strong fruit (sherries, Plum, red berries), notes of toasted coffee and spices with a long finish. A warm hearty stew is the perfect marriment",10.99,8.99,100.0,14,[],,9.8,75.0
Elysium Black Muscat 2015 Half Bottle,USA,Dessert & Fortified,Dessert & Fortified,,SWEET,"Black Muscat, an under-appreciated Muscat variety, one of the very few black-skinned Muscats. Elysium is Greek for Heaven, a fitting association for this excellent wine made by Andrew Quady. Virtually black in colour, with a rose-like aroma, very intense on the palate and full of fantastic rich velvety fruit. One of the few wines that can stand up to chocolate puddings. Or try it poured over ice cream for the ultimate after-dinner treat!",13.99,11.99,97.0,39,['IWC 2017 - Silver Award'],Natural Cork,5.6,37.5
Capaia One 2015,South Africa,Red,Big Red,"Cabernet Franc, Cabernet Sauvignon, Merlot",FULL,"This estate was founded by Count Stephan von Neipperg who also owns the famous St Emilion properties Canon La Gaffeliere and La Mondotte. He has used his vast experience in Bordeaux to create stunning wines in South Africa. This wine has been aged to perfection and is packed with rich blackcurrant fruit flavours and enhanced by developed notes of cedar, leather and spice. This is a great food wine and will match all red meat dishes.",14.99,12.99,94.0,50,[],Natural Cork,10.5,75.0
Casal de Ventozela 2018 Vinho Verde,Portugal,White,Crisp White,,OFF DRY,"Vinho Verde is made in the north-western corner of Portugal, and is a category of young wines that can be made from a range of grapes. This example is made from the indigenous variety Arinto, and undergoes a period of maturation on fine lees to achieve a richer flavour. Crisp and dry, with delicate flavours of soft citrus fruit, melon and green apple, and aromatic hints of blossom and white pepper. The palate offers refreshing sherbet suggestions. A great match for prawns with an aromatic, spicy dressing.",9.99,7.99,93.0,193,[],Screwcap,9.0,75.0
Muscadet de Sèvre et Maine Sur Lie 2018 Domaine de la Tourmaline,France,White,Crisp White,Melon de Bourgogne,DRY,"The term 'sur lie' sorts the wheat from the chaff in the world of Muscadet. An extended period of lees contact after fermentation leads to a greater complexity of flavour and character. With ripe fruit aromas, a pleasant richness and fine minerality, this is a classic Loire white. Bottled with a slight natural spritz to help retain freshness. Chill well and drink immediately with scallops. Also makes an excellent partner for oriental cuisine.",9.99,8.99,92.0,110,[],Screwcap,9.0,75.0
Klein Constantia Sauvignon Blanc 2018 Constantia,South Africa,White,Fruity White,Sauvignon Blanc,DRY,"The Constantia Valley, home to Klein Constantia Estate, is the oldest vineyard region in the Cape, having produced wine since 1689. Klein Constantia is family-owned with a focus on quality rather than quantity. A light green appearance with ripe tropical aromas of pineapple and passionfruit. The palate is classically Sauvignon with its racy acidity and the finish is clean and refreshing. Given an extra richness and dimension by the addition of 4% Semillon, it makes an excellent partner to fresh seafood.",14.99,12.99,93.0,30,[],Screwcap,10.1,75.0
Rioja Reserva 2013 Viña Pomal,Spain,Red,Smooth Red,,MEDIUM,"The grapes for this wine come from Viña Pomal's own vineyards which surround the winery. The first Viña Pomal release was over 100 years ago in 1904, and they have since been producing high quality, classic 100% Tempranillo Riojas. Bursting with blackberry and raspberry fruit, the palate is clean, intense and persistent. Perfectly balanced with soft velvety tannins it is delicious from start to the long finish. This traditional style of Rioja will be a superb complement to Catalan-style charcuterie or cured meats.",13.99,11.99,94.0,98,[],Natural Cork,10.1,75.0
Black Cottage Sauvignon Blanc 2018 Marlborough,New Zealand,White,Fruity White,Sauvignon Blanc,DRY,"Winemaker David Clouston spent a number of years working at wineries in the USA, France, Spain and Chile before returning to his native Marlborough, and now lives in a black-painted wooden cottage in the Wairau Valley after which the winery is named. Bright, pale yellow, with lime green tinges. Offers aromas of gooseberries with a hint of lychee and a leafy complexity. Tropical and herbaceous characters continue on the crisply acidic palate. Drink with mildly pungent cheeses such as feta or chêvre, or with a crayfish salad.",10.99,8.99,92.0,177,[],Screwcap,9.8,75.0
Château de Pennautier 2015 Cabardès,France,Red,Fruity Red,"Grenache, Merlot, Malbec, Cabernet Sauvignon",FULL,"Made by winemaker Bertrand Seube, formerly of Château Mouton-Rothschild, using a blend of Bordeaux and Southern French varieties. Cabardès in Southern France is the only formal appellation which permits blending of this broad range of classic varieties in the same wine. Rustic aromas of raspberries, mullberries and cooking spices permeate from an intensely ruby coloured wine. A firm, tannic palate of spice and dark fruits leads to a layered, dry finish. Ideal with casseroles and red meat dishes, vegetable soups and cassoulet, or tagine. Drink over the next two years.",12.99,10.99,86.0,136,[],Natural Cork,9.8,75.0
Porta 6 Rosé 2018,Portugal,Rose,Rose,,DRY,"Following the best-selling, celebrity-chef-backed Porta 6, this is utterly refreshing pink. Cooling Mediterranean breezes lend a fresh, fruity balance to this summer-fruit-packed juice. A dry, refined Rosé, it's a money-saving double for Provence produce.",8.99,7.99,97.0,182,['IWC 2019 - Commended Award'],Screwcap,9.4,75.0
Winemaker Series Swartland Red 2017,South Africa,Red,Big Red,"Viognier, Cinsault, Cabernet Sauvignon, Grenache, Shiraz",FULL,"Made exclusively for Majestic by Marc Kent, the man behind customer favourite The Chocolate Block. He sourced the grapes from the same vineyards to bring you something extra special",12.99,9.99,92.0,194,[],,10.9,75.0
Chianti Classico Riserva 2013 Villa Antinori,Italy,Red,Big Red,,FULL,"A blend of 90% Sangiovese supported by Cabernet Sauvignon and Merlot, offering an intense ruby red in color, features an equally intense nose of red fruit, raspberries, and blueberries, followed by hints of oak and spices, particularly cloves, on the aromatic finish. On the palate, the wine is immediately vibrant and very territorial in character. The tannins are supple but well present. The finish and aftertaste are fruity and the light notes of oak long and lingering.",25.0,22.0,88.0,8,[],Natural Cork,10.1,75.0
Morgon 2018 Château de Pizay,France,Red,Fruity Red,Gamay,MEDIUM,"Since the Middle Ages the fine wines of the Château de Pizay have been appreciated by Beaujolais-lovers. The Château includes a four-star hotel with 64 rooms and a gourmet restaurant. This is an ideal place to discover the charming pleasure of the Beaujolais. This top class wine has a nose dominated by blackberries and cherries and a silky smooth palate with fine tannins combining. Classic Morgon, showing the fruit of Beaujolais and the charm of Burgundy. This wine is ready to drink now but Morgon is one of the longest-lasting crus and will therefore develop for a futher year or two.",12.99,10.99,92.0,63,[],Natural Cork,9.8,75.0
Macon Villages Elodie Dupres,France,White,Fruity White,,DRY,"Intense and subtle nose of white fruits (mango, pineapple) and dried fruits (hazelnut, grilled almond). Freshness and elegant taste of citruses and ripe nectarines for a perfect balance with a beautiful minerality.",9.99,7.99,92.0,63,[],,9.8,75.0
Russian Jack Pinot Noir 2017 Martinborough Vineyards,New Zealand,Red,Fruity Red,,MEDIUM,"Russian Jack was a merchant sailor from Latvia, who found himself in New Zealand and became a legendary travelling fruit picker, living a nomadic life for over 50 years in the Wellington area. A statue dedicated to his memory now stands in the town of Masterton. A finely balanced Pinot offering ripe red berry fruit underpinned by a fresh crunchiness and savoury notes. Tannins are ripe and supple, polished and spice-infused by 9 months in oak. The perfect wine to pair with smoked duck.",14.99,12.99,90.0,42,[],Screwcap,9.4,75.0
Definition Gavi DOCG 2018,Italy,White,Crisp White,,DRY,"The Definition range captures the quintessential qualities of the world's greatest wine styles. Gavi is the Chablis of Italy. Not just thanks to its refined, clean character, but due to its tiny production area. This delivers every steely note of stone fruits, pear and honey that you'd expect from the most exclusive stuff at a snip.",11.99,8.99,62.0,21,['IWC 2018 - Commended Award'],,9.0,75.0
Saint Clair Pioneer Block Pinot Noir 2017 Marlborough,New Zealand,Red,Fruity Red,,MEDIUM,"Saint Clair Pioneer Block wines are made from small parcels of outstanding fruit identified by our winemaker. Fruit for this wine was sourced from Saint Clair's own vineyard at Doctor's Creek, and blended with a small amount from the Southern Valleys to add complexity. Bright ruby in colour, aromas of raspberry and plum are complemented by a touch of spice. A luscious and soft palate with flavours of redcurrant, cherries and an added warmth from ageing in oak barrels. This is perfectly matched with tuna or beef fillet with mushrooms and will cellar for the next two to five years.",22.99,19.99,97.0,70,[],Screwcap,10.1,75.0
Baron Edmond de Rothschild Montagne St Emilion,France,Red,Smooth Red,Cabernet Sauvignon,FULL,"Montagne-St. Émilion Backcurrant, tobacco, spice A delicious wine by itself or enjoy with a nice bit of roast beef",24.99,19.99,92.0,12,[],Natural Cork,9.8,75.0
Santa Rita Medalla Real Cabernet Sauvignon 2016 Maipo Valley,Chile,Red,Big Red,Cabernet Sauvignon,FULL,"Santa Rita was founded in 1880, by Mr. Domingo Fernández Concha. Each lot is individually vinified at its peak of ripeness and aged in French oak barrels. Deep, ripe ruby red in colour with a nose of blackcurrant, menthol and toasty vanilla notes. Rich, ripe almost sweet tannins and a long length. Enjoy with spicy red meats, venison and goose.",11.99,10.79,94.0,100,['IWC 2018 - Bronze Award'],Natural Cork,10.5,75.0
"Gnarly Dudes Shiraz 2016 Two Hands, Barossa Valley",Australia,Red,Big Red,Shiraz,FULL,"Two Hands are dedicated to showcasing the wide range of styles available from Barossa's many and varied plots. This example is sourced from a number of parcels of mature, gnarly Shiraz vines, and aged in a mixture of new and old French oak hogsheads for 12 months. Intense and complex on the nose, which offers an array of fruit accented by notes of chestnuts, burnt toffee, chocolate and lavender. Full and lush on the palate, with a supple texture and good length. Enjoyable immediately, but will develop nicely for up to 5 years in bottle.",21.99,18.99,96.0,45,[],Screwcap,10.5,75.0
Acacia Road Merlot 2018,South Africa,Red,Fruity Red,Merlot,MEDIUM,It's the weeknight sipper to bring a splash of sun to your sofa. Gentle oak influence gifts a silkiness to a bouquet of dark plum and blackcurrants. This really is a steal at a pocket-friendly price.,7.99,5.99,96.0,56,[],,10.5,75.0
Greywacke Sauvignon 2018 Marlborough,New Zealand,White,Fruity White,Sauvignon Blanc,DRY,"Greywacke (pronounced 'grey-wacky') is the name given to the grey sedimentary rock that characterises much of the soil in this estate's vineyard. The winery was founded in 2009, and is the brainchild of Kevin Judd, former winemaker of Cloudy Bay for 25 years. Intense aromatics of melon, peach and papaya are accompanied by hints of tomato leaf and capsicum. The palate is crisp but remarkably mouth-filling, a small portion of the wine having been oak fermented. Partner with a selection of canapes made with smoked salmon, anchovies or chêvre.",19.99,17.99,100.0,21,[],Screwcap,9.8,75.0
Gavi 2018 La Toledana,Italy,White,Crisp White,,DRY,"The white wines of the village of Gavi in Piedmont have been dubbed the Chablis of Italy, due to their fresh, steely minerality. Ripe peach and pears with hints of citrus and a slight honeyed edge held together by steely minerality and a fresh acidity. An ideal apéritif, this wine will also complement poached white fish with a rocket and cherry tomato salad.",14.99,12.99,89.0,195,[],Natural Cork,9.8,75.0
Bourgogne Pinot Noir 2016 Louis Latour,France,Red,Fruity Red,,MEDIUM,"Domaine Louis Latour have their own cooperage, which has been going since the early C20th, when they decided to purchase a forest east of Beaune. This tradition is maintained today with production of around 2000 barrels a year. Half of these are exported around the world. Although Pinot Noir is one of the most difficult grapes to grow, this is a fine example at this price with plenty of soft ripe blackberry and raspberry fruit. A versatile and easy-drinking wine that goes well with grilled meats, terrines and pâtes or with a cheese platter.",16.99,14.99,68.0,34,[],Natural Cork,9.8,75.0
Majestic Mulled Wine,,Smooth Red,,Italy,"This is a classic mulled wine, perfect for parties or to warm up with on a chilly evening. Made from carefully selected red wine, it is blended with soft spices to give a relatively dry and intensely flavoured drink. Enjoy warm with friends at relaxed gatherings - add fruit or spices if you want to take the credit!",5.99,4.99,Red,0.0,1,[],6.0,,
Gran Camino Sauvignon Blanc 2016,Spain,White,Fruity White,Sauvignon Blanc,DRY,"""Beautifully balanced with crisp flavours of gooseberry from the Sauvignon grapes there is added richness and citrus flavours from a small amount of Chardonnay included in the blend."" Gooseberry takes the forefront with little flicks of citrus and green apple, softens by a rounded soft finish. Enjoy this wine alongside a lightly spiced fish dish or vegetable soup.",5.99,4.99,77.0,13,[],,9.0,75.0
Taylor's Quinta de Vargellas 2004 Port,Portugal,Dessert & Fortified,Port,,FULL,"The 300 year old Port House of Taylor's, based in Oporto on the Atlantic coast are owners oft he Quinta de Vargellas vineyard, based high up in the Douro valley.Vines of over 75 years old make up 60% of the vineyard, produces wines that age as long as vintage Port. Concentrated spicy aromas of raisin, spices, and currant. Exceptionally rich, with layer upon layer of fruit, a chewy, unctuous texture, firm structure and tannin and a finish lasting in over a minute. Decant well in advance and enjoy anytime over the next decade (or two). Serve with a full cheese platter, or just savour after dinner.",31.99,26.99,100.0,10,[],Natural Cork,15.4,75.0
Avior Malbec 2018,Argentina,Red,Big Red,,MEDIUM,"This is a decadent and rich wine with flavours of Blackberry and cherry. Rounded and soft there is a delightful, lighter floral note on the finish.Best enjoyed with a rich beef casserole or alongside a cheeseboard when it's chilly outside.",7.99,5.99,92.0,38,[],,10.1,75.0
Aresti Bellavista Sauvignon Gris 2017,,White,Fruity White,,DRY,"The Aresti winemaking team have already scooped some seriously impressive awards - bagging a coveted Platinum Award at the Decanter Wine Awards 2017. So it's no surprise this Sauvignon Gris from the cool Maule Valley is bursting with cool citrus aromas, mouth-watering acidity and vibrant lime flavours",10.99,6.59,94.0,94,[],,9.4,75.0
Nettie Viognier 2017,USA,White,Fruity White,Viognier,DRY,"The Nettie is proof that California is the place to head for Rhône-style Viognier at a fraction of the usual asking price. Vivid notes of peach, apricot and pear meet a stony minerality.",8.99,7.99,90.0,87,['Decanter 2019 - Bronze Award'],Screwcap,10.1,75.0
"Los Vascos Cabernet Sauvignon 2017 Domaines Baron de Rothschild, Colchagua",Chile,Red,Big Red,,FULL,"Domaines Barons de Rothschild took over the Los Vascos ('The Basques') estate in 1988, and since then have grown it from its original 220ha of vines to 580ha. Many of the original vines are 40-50 years old, with the oldest being up to 70 years old. Classic and pure Cabernet, with well-defined notes of cherry, blueberry and plum on the nose, with hints of bay leaf and clove adding subtle depth. Approachably soft yet weighty on the palate. Partner with roast beef or fillet steak.",12.99,10.99,81.0,27,['IWC 2017 - Commended Award'],Synthetic Cork,10.5,75.0
Alegro Rioja Crianza 2016,,Red,Fruity Red,,LIGHT,"Aged in oak for 12 months. You'll get vanilla and cocoa. Light acidity and medium tannins - this one's quiet, but nice. Overall, it's a typical crianza - nothing amazing, but nice to drink nonetheless",11.99,9.99,100.0,23,[],,9.8,75.0
Alluria Organic Pinot Grigio,Italy,White,Crisp White,,DRY,Organically produced this elegant and fresh Pinot Grigio abounds with flavours of citrus and peach followed by floral and herbal notes.,9.99,6.99,100.0,3,[],,8.6,75.0
Cono Sur Bicicleta Pinot Noir 2018,Chile,Red,Big Red,,LIGHT,"Made by a back-to-back 'Chilean Winery of the Year' it's hardly surprising that the Bicicleta is the UKs most popular Pinot Noir. Named after the mode of transport preferred by its vineyard worker - it's a fresh, elegant Pinot Noir with bright cherry, blackberry and plum notes.",8.49,7.49,100.0,2,[],,10.1,75.0
Black Ridge Pinot Noir 2016,USA,Red,Fruity Red,,LIGHT,"California is battling Burgundy for the Pinot Noir crown. Look no further for proof. A smooth, silky red pulsing with vibrant cherry, raspberry and vanilla notes, this would demand a remortgage if it was French.",15.99,13.99,95.0,20,[],Screwcap,10.1,75.0
Majestic Loves Gruner Veltliner 2018,Hungary,White,Crisp White,,DRY,"Austrian Grüner grabs the headlines. But you'll find delicious rivals just over the border. And you can shave a few quid off the usual asking price by heading to Hungary. It's dry, sprightly and lined by spiced apple and white pepper.",6.99,5.99,89.0,99,['IWC 2018 - Silver Award'],Screwcap,9.4,75.0
Men in White Coats Viognier 2019,South Africa,White,Fruity White,,DRY,"Apricot and peach flavours dominate this rich and full flavoured white that, despite the richness, retains a fine fresh acidity that matches with spicy notes on the finish.",9.99,7.99,100.0,21,[],,10.1,75.0
Definition Viognier 2018,France,White,Fruity White,,DRY,"The Definition range captures the quintessential qualities of the world's greatest wine styles. This is crafted by Abbotts & Delaunay, the winery behind our most successful Viognier WIGIG (when it's gone, it's gone!) and the top Viognier of 2018. You can thank an expert use of oak for its marriage of white fruits, almond and generous character. You'd be forgiven for thinking it costs twice its price.",10.99,8.99,91.0,152,['IWC 2018 - Bronze Award'],,9.4,75.0
Definition Chenin Blanc 2018,South Africa,White,Fruity White,,DRY,"The Definition range captures the quintessential qualities of the world's greatest wine styles. Chenin Blanc is to South Africa what Chardonnay is to Burgundy. So we sourced this from an award-winning producer whose Chenins win awards vintage after vintage. It's aromatic, lean and pumping with peach, tropical fruits and cream.",12.99,9.99,92.0,86,"['Decanter 2019 - Bronze Award', 'IWC 2018 - Silver Award']",,10.5,75.0
Goldwater Sauvignon Blanc 2018 Marlborough,New Zealand,White,Fruity White,,DRY,"From the Wairau Valley in Marlborough, where Goldwater Estates practices sustainable viticulture and strict selection, comes this brilliant Sauvignon Blanc. Some lees ageing imparts it with complexity and texture. Offers masses of elderberry fruit and raspberry leaf aromas and exhibits an excellent minerally finish along the lines of Sancerre. Perfect with seafood or salads.",11.99,9.99,91.0,160,"['IWC 2017 - Silver Award', 'Decanter 2017 - Bronze Award']",Screwcap,9.4,75.0
The Astronomer Shiraz 2018 De Bortoli,Australia,Red,Big Red,Shiraz,FULL,"De Bortoli practice high input viticulture with a huge emphasis on site selection and the use of mature vines. This approach has enable them to produce, among many others, the great sweet wine Noble One. The same care is applied to this entry level Shiraz. This wine displays classic notes of blackcurrant, bramble and white pepper. It is extremely full bodied and rich for a wine of this price. Try this with steak,grilled sausages or even a hamburger.",6.99,5.99,86.0,128,[],Screwcap,10.5,75.0
Rioja Gran Reserva 2013 Marqués de Riscal,Spain,Red,Smooth Red,,FULL,"Made from grapes of over 30-years-old in the heart of the Rioja Alta region. Only produced in outstanding vintages, and selected from the best grapes, the wine is aged for between 30 and 36 months in American oak, with a further 36 months' bottle ageing prior to release. Complex aromas of fresh red berries and developed aromas of leather, earth and and fermented tobacco leaf. A rounded, warming palate of subtle fruits, oak and spice with gentle tannins and a long finish. Drinking very well at the moment but will develop beautifully with a couple of years ageing. Enjoy with lamb, venison and pork.",32.0,29.00,93.0,14,[],Natural Cork,10.5,75.0
Majestic Loves Montepulciano 2018,Italy,Red,Fruity Red,,MEDIUM,"This great Montepulciano is full of juicy red fruit and relaxed tannins. Exceedingly approachable, easy going and perfect with pizza - everything that great Italian red should be!",6.99,5.99,85.0,92,[],Screwcap,9.0,75.0
Valle Antigua Chardonnay 2018,Chile,White,Crisp White,,DRY,The Colchagua Valley is a paradise for growing grapes with a Mediterranean climate and a large difference between daytime and night time temperatures allows the grapes to ripen slowly developing intense flavours and aromas. This fine Chardonnay has fresh flavours of ripe apple and citrus enhanced by notes of vanilla from ageing in French oak. Try this with chicken or meaty fish dishes flavoured with wine.,7.99,4.99,90.0,30,[],Screwcap,9.8,75.0
Parcel Series Marlborough Sauvignon Blanc 2018,New Zealand,White,Fruity White,Sauvignon Blanc,DRY,"Another of our Parcel Series wines that really outguns its price tag. This wine from an internationally acclaimed winery bursts with bright fruit flavours of gooseberry, passion fruit and citrus.",9.99,8.99,91.0,56,[],,9.5,75.0
Varzea Vinho Verde,Portugal,White,Crisp White,,DRY,"Varzea de Marao has over 100 years experience crafting zippy, lime-packed Vinho Verde. This is from the oldest vineyard in the region. You'll taste its excellence in refined hints of green apple and citrus.",7.99,6.99,100.0,11,[],,7.1,75.0
Charmes de Kirwan 2014,France,Red,Big Red,"Merlot, Cabernet Franc, Cabernet Sauvignon",MEDIUM,,34.99,29.99,100.0,1,[],,10.1,75.0
Viñalba Malbec-Touriga Nacional Reserve 2017 Mendoza,Argentina,Red,Big Red,Malbec,FULL,"It takes a cream-of-the-crop Malbec blend to win two gold medals in one year. The 2017 vintage of this did exactly that. Its secret? A generous splash of Touriga Nacional, the grape more commonly known for boosting the palate-coating power of Port. In this, it adds a colossal burst of red-fruit flavour. It's delicious.",12.99,9.99,92.0,84,"['IWC 2019 - Silver Award', 'Decanter 2019 - Bronze Award', 'IWC 2017 - Gold Award', 'Decanter 2017 - Gold Award']",Natural Cork,10.9,75.0
Rioja Reserva Selección Especial 2014 Muga,Spain,Red,Smooth Red,,FULL,"Founded by Isaac Muga Martínez and his wife, Auro Caño in 1932, in Haro, at the western end of Rioja Alta. The best grapes are selected for the Especial blend, and aged for 6 months in large vats, before 30 months in small oak barrels, and a further year in bottle. Intense, concentrated and powerful aromas of black fruit, red berries, spice and hints of wild flowers complement an intense and very powerful, fruit driven palate with layers of flavour and exotic spice. An harmonious wine that will age gracefully for ten years but can be enjoyed now. Drink with game or duck.",25.99,22.99,96.0,48,[],Natural Cork,10.5,75.0
"Rully Rouge ""En Rosey"" 2016 Maison Chanzy",France,Red,Fruity Red,Pinot Noir,LIGHT,"Maison Chanzy own top quality vineyard sites all over Burgundy including Grand Crus. Rully is a lesser known village in the Côte Chalonnaise that produces Pinot Noir that can rival the quality, if not the price tag, of its more famous rivals to the north. This wine is stuffed full of bright red fruit flavours, think cherries and redcurrants, with a fine firm tannic structure and balancing acidity that makes it a great foil for all manner of food. This will be an excellent match for roasted poultry or game birds.",17.99,15.99,92.0,13,[],Natural Cork,9.8,75.0
Winemaker Series Rosé IGP Mediterranee,France,Rose,Rose,,DRY,"At just 29-years-old, Hermine de Clermont-Tonnerre is head winemaker at Commanderie de Peyrassol, Provence's oldest winery. So we had to get her rosé expertise on board with Winemaker Series. Elegant notes of strawberry, raspberry and blossom are chased by a hint of white pepper and refreshing acidity.",10.99,8.99,91.0,11,[],,9.4,75.0
Santa Rita 120 Carménère 2018 Central Valley,Chile,Red,Big Red,,FULL,"Santa Rita's 120 range has been named in tribute to 120 freedom fighters who sheltered at the Santa Rita winery during Chile's war of independence in 1814. The Carmènère is sourced from a range of vineyard sites throughout Chile's Central Valley. A lively and juicy representation of this variety, with a soft and supple texture, bright brambly fruit and subtle notes of spice and tobacco leaf, and a hint of vanilla from 6 months in French oak. Enjoy with simple pasta dishes, grilled lamb chops or simply on its own.",8.99,6.99,89.0,233,[],Screwcap,10.1,75.0
Côtes du Rhône Belleruche 2018 M.Chapoutier,France,Red,Smooth Red,"Syrah, Grenache",MEDIUM,"The Chapoutier family have produced wines in the Rhône Valley since 1808. Michel Chapoutier, currently in charge, has combined tradition with a dynamic, creative approach and makes some of the best wines of the region. A superb wine with rich aromas of dark fruit, earthy minerals and spice. Soft and round on the palate with smooth tannins, rich blackberry and cherry fruit, hints of liquorice and a substantial finish. This wine can be enjoyed over the next several years and will superbly partner most rich meat dishes.",11.99,9.99,91.0,213,[],Screwcap,10.5,75.0
Definition Grüner Veltliner 2018,Austria,White,Crisp White,,DRY,"The Definition range captures the quintessential qualities of the world's greatest wine styles. Three Grüner Veltliner WIGIGs (when it's gone, it's gone!) sold out in less than 24 hours last year. So we had to outdo ourselves with the definition of the skyrocketing style. Made by a man once crowned 'Best White Wine Producer', it's racing with quince, white peach and white pepper.",10.99,8.99,88.0,224,"['Decanter 2019 - Bronze Award', 'Decanter 2019 - Bronze Award', 'IWC 2018 - Silver Award']",Screwcap,9.4,75.0
Domaine du Vaux St Georges Touraine Sauvignon 2018,France,White,Fruity White,Sauvignon Blanc,DRY,"Domaine du Vaux St Georges offers a fantastic terroir of flinty sands, close to the Cher river. The influence of which, gives fantastic crispness to their grapes, creating some of the best that Touraine has to offer. A pale yellow juice boasts aromas of citrus, elderflower and a note of cedar. True to its exquisite background, the finish is long and balanced. A true summer's refresher Fantastic as an aperitif, or enjoy with a wide variety of fish.",11.99,9.99,100.0,16,[],,9.4,75.0
Saint Clair Pioneer Block Sauvignon Blanc 2016 Marlborough,New Zealand,White,Fruity White,Sauvignon Blanc,DRY,"The reason behind the 'block'? It's sourced from a single vineyard. A unique expression of the land, it's only made in the finest vintages. Such practices would demand at least twice this price tag in France. Bursting with expertly crafted layers of gooseberry, passion fruit and freshly cut grass, this is a new world of Kiwi Sauvignon.",19.99,16.99,94.0,127,[],Screwcap,9.8,75.0
Saint Clair Pioneer Block Chardonnay 2017 Marlborough,New Zealand,White,Rich White,,DRY,"St. Clair have gone for maximum impact and expression with this Chardonnay, fermenting 100% of the grapes in a mixture of new and old French oak, before ageing the wine on for 9 months, with regular stirring to draw full character from the lees. The New Zealand trademarks of fresh and snappy peach and tropical fruits are finished with a wonderfully soft, generous texture and a biscuity edge. Rich, with plentiful amounts of pure, tropical fruit, this wine is fantastic with grilled asparagus or fish with parsley sauce.",19.99,17.99,100.0,20,[],Screwcap,9.8,75.0
Acacia Road Chenin Blanc 2018,,White,Fruity White,Chenin Blanc,DRY,Chenin Blanc has found a home in South Africa and this example shows exactly why with bright flavours of tropical fruit and apple followed by a honeyed yet refreshing finish.,7.99,5.99,88.0,43,[],,9.8,75.0
Ségla 2012 Margaux,France,Red,Big Red,"Merlot, Cabernet Sauvignon",FULL,"Ségla is the second wine of the famous Margaux second growth Château Rauzan-Ségla. More accessible than the first wine, this is does not receive as much new oak, so tannins are riper and smoother making the Ségla ripe and ready for drinking. It is a wine with excellent concentration and poise. Showing fragrant notes of ripe fruits, violets and cedar with beautiful length and delicate tannins. With great structure and balance and a long finish A great example of good value Margaux drinking well now, this wine will also soften further and improve over the next 7-8 years",34.99,30.99,79.0,29,[],Natural Cork,10.1,75.0
